blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,53232,4282,68,13.6,649,133,1,12,7,13,38,15,1,0,3,2,0,1,1,0,0,0,1,0,0,45622,3599,64,12.8,657,146,0,7,12,8,32,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,126,64,7,145,111,58,245,897,81,497
0,50457,2217,63,12.6,594,121,0,19,8,27,32,7,1,0,2,1,1,0,0,0,1,1,1,0,0,51820,2573,65,13.0,627,158,1,8,19,13,32,7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,50798,5335,64,12.8,563,137,1,18,8,17,32,13,1,0,2,1,1,0,0,0,1,1,1,0,0,55842,3480,68,13.6,604,136,0,8,18,13,30,8,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,52500,1724,68,13.6,633,142,0,15,14,20,31,12,0,0,0,1,0,0,1,0,1,1,1,0,0,47191,2771,61,12.2,647,109,1,14,15,13,25,13,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,72930,2740,83,16.6,865,220,1,17,10,24,30,16,0,0,0,1,0,1,0,0,1,1,0,0,0,75236,1079,84,16.8,761,191,0,10,17,16,37,11,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,61381,2360,72,14.4,598,202,0,13,12,17,40,12,0,0,0,0,0,0,0,0,0,1,0,0,0,47508,1802,64,12.8,613,102,1,12,13,25,44,18,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,72640,4536,85,17.0,784,213,1,13,7,19,41,6,1,0,2,1,1,0,0,0,1,2,1,0,0,64604,2634,77,15.4,823,174,0,7,13,7,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,71276,4031,81,16.2,816,212,1,12,7,19,37,10,0,0,0,1,1,0,0,0,0,0,1,0,0,55787,1971,73,14.6,764,187,0,7,12,4,31,10,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,63784,2172,76,15.2,736,150,0,10,10,13,34,6,1,0,3,1,0,0,1,0,0,1,1,0,0,60081,3719,77,15.4,774,207,1,10,10,15,34,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,42190,1587,63,12.6,670,139,0,7,9,7,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,55498,3897,69,13.8,691,171,1,9,7,12,35,12,1,0,3,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,126,254,245,145,53,103,24,134,51,235
0,54878,4085,71,14.2,666,176,1,12,9,13,86,10,1,0,2,2,1,1,0,0,1,1,1,0,0,56913,3031,70,14.0,707,126,0,9,12,10,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,76,777,202,43,114,104,518,119,111
