blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,3171,1,22,12,28,60,23,1,1,3,7,4,2,1,2,0,1,2,0,0,4763,0,12,22,14,51,20,0,0,0,5,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,126,64,7,145,111,58,245,897,81,497
0,3472,0,29,19,42,55,15,1,0,2,2,1,1,0,0,1,1,2,0,0,3113,1,19,29,33,59,16,0,0,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,122,59,99,145,526,114,421,69,81,497
0,5459,1,28,16,37,55,19,1,0,2,1,1,0,0,0,1,2,1,0,0,3957,0,16,28,33,53,18,0,0,0,6,1,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,3752,0,22,18,32,57,31,0,0,0,3,1,1,1,0,1,2,2,1,0,4198,1,18,22,18,49,25,1,1,1,4,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,164,64,163,498,111,114,254,518,145,201
0,3213,1,24,18,36,59,25,0,0,0,3,2,1,0,0,1,2,1,0,0,2086,0,18,24,31,71,21,1,0,1,7,2,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,1807,0,24,19,51,63,25,1,0,1,4,2,1,1,0,0,2,1,0,0,2570,1,19,24,40,63,27,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,1578,1,18,15,28,68,17,1,0,2,3,1,0,2,0,1,3,2,0,0,3096,0,15,18,23,52,33,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,6466,1,22,12,44,59,21,0,0,0,4,1,3,0,0,0,1,2,0,0,1438,0,12,22,13,59,16,1,0,3,3,1,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,3690,0,16,19,28,63,18,1,0,3,2,1,0,1,0,0,1,2,1,0,1725,1,19,16,36,67,24,0,0,0,4,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,1966,0,9,18,9,52,19,0,0,0,1,0,1,0,0,0,0,0,0,0,3532,1,18,9,32,60,25,1,0,3,3,1,1,1,0,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,126,254,245,145,53,103,24,134,51,235
