blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,53232,3160,68,13.6,649,133,1,7,5,6,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,45622,2599,64,12.8,657,146,0,5,7,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,64,7,145,111,58,245,897,81,497
0,50457,3488,63,12.6,594,121,0,10,3,17,15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,51820,3276,65,13.0,627,158,1,3,10,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,50798,2885,64,12.8,563,137,1,5,3,5,13,4,0,0,0,0,0,0,0,0,0,0,1,0,0,55842,4027,68,13.6,604,136,0,3,5,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,52500,2863,68,13.6,633,142,0,7,6,9,15,5,0,0,0,0,0,0,0,0,1,1,0,0,0,47191,2931,61,12.2,647,109,1,6,7,3,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,72930,4183,83,16.6,865,220,1,8,1,10,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75236,3199,84,16.8,761,191,0,1,8,1,20,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,61381,3511,72,14.4,598,202,0,4,7,4,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47508,3220,64,12.8,613,102,1,7,4,15,15,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,72640,3398,85,17.0,784,213,1,6,2,14,20,1,0,0,0,0,0,0,0,0,1,1,0,0,0,64604,3503,77,15.4,823,174,0,2,6,2,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,71276,4574,81,16.2,816,212,1,6,3,8,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,55787,3148,73,14.6,764,187,0,3,6,2,14,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,63784,4201,76,15.2,736,150,0,3,6,4,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60081,3192,77,15.4,774,207,1,6,3,8,16,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,42190,1652,63,12.6,670,139,0,4,6,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55498,3399,69,13.8,691,171,1,6,4,8,19,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,254,245,145,53,103,24,134,51,235
0,54878,1848,71,14.2,666,176,1,6,8,6,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,56913,2575,70,14.0,707,126,0,8,6,10,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,76,777,202,43,114,104,518,119,111
0,46407,2507,63,12.6,591,158,1,7,0,9,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,53049,2837,71,14.2,615,148,0,0,7,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,64,85,145,53,897,104,84,235,223
1,54375,3286,71,14.2,730,171,1,3,2,4,19,3,0,0,0,0,0,0,0,0,0,0,1,0,0,43733,3830,65,13.0,681,146,0,2,3,4,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,104,268,429,53,266,121,61,18,888
0,64127,3683,76,15.2,687,131,1,7,4,10,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,74489,3295,82,16.4,700,214,0,4,7,4,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,421,91,145,12,897,24,166,498,53
1,53939,3276,69,13.8,604,153,0,8,3,8,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43267,3029,60,12.0,614,126,1,3,8,2,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,526,200,15,235,79,24,777,67,497
1,65103,2833,77,15.4,657,208,0,6,11,5,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60376,5609,74,14.8,677,205,1,11,6,14,13,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,887,76,78,222,9,57,104,126,69,111
1,71024,2108,82,16.4,733,196,0,3,7,2,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,64219,2953,79,15.8,818,214,1,7,3,10,38,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,203,711,222,432,266,104,84,523,412
0,61918,1245,76,15.2,807,139,0,1,5,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70366,3306,81,16.2,794,246,1,5,1,6,33,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,133,154,61,145,412,516,427,18,429,888
0,45056,3509,65,13.0,671,135,1,4,4,5,14,6,0,0,0,0,0,0,0,0,1,1,0,0,0,59272,1810,74,14.8,710,201,0,4,4,5,18,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,23,79,81,43,24,104,268,523,412
1,56818,4153,71,14.2,598,148,0,5,5,11,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,48272,1539,63,12.6,615,131,1,5,5,5,21,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,27,24,777,202,12,80,64,61,145,497
1,73055,2538,83,16.6,700,267,1,4,5,3,15,3,0,0,0,0,0,0,0,0,1,1,0,0,0,61614,2827,76,15.2,756,130,0,5,4,5,13,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,58,104,13,222,12,887,59,112,412,67
0,84423,3986,86,17.2,915,215,1,6,6,7,11,5,0,0,0,0,0,0,0,0,0,0,1,0,0,85137,2745,88,17.6,814,227,0,6,6,6,84,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,126,236,44,54,104,238,81,143
0,46876,3116,66,13.2,732,140,0,5,8,5,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,58265,3311,72,14.4,732,155,1,8,5,9,18,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64,103,51,412,897,234,115,429,111
1,60487,1790,73,14.6,719,180,0,6,6,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47609,3434,64,12.8,703,113,1,6,6,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,104,166,429,412,24,60,126,523,111
0,52784,2824,66,13.2,557,111,1,4,12,4,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,66132,2290,77,15.4,703,244,0,12,4,13,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,254,222,3,902,58,104,61,429,111
1,61394,1387,74,14.8,600,168,0,10,4,10,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,49181,1927,63,12.6,608,138,1,4,10,5,18,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,897,64,103,429,518,10,59,61,81,43
1,72761,3945,83,16.6,811,152,0,8,8,12,15,6,0,0,0,0,0,0,0,0,1,1,0,0,0,74786,3278,84,16.8,788,230,1,8,8,10,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,517,23,429,526,80,104,887,115,555
0,51888,1809,67,13.4,564,128,0,6,12,3,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,60977,6085,73,14.6,597,178,1,12,6,15,13,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,517,163,126,222,111,54,104,268,145,78
1,71357,4251,84,16.8,793,198,1,6,4,8,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,67853,1651,83,16.6,779,229,0,4,6,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,876,711,29,78,120,58,112,498,497
1,81499,3859,89,17.8,938,220,0,8,8,9,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77643,2523,87,17.4,983,251,1,8,8,8,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,134,895,526,887,163,777,145,12
1,54558,4765,70,14.0,591,148,1,9,3,11,16,3,0,0,0,0,0,0,0,0,1,1,0,0,0,47325,3756,65,13.0,633,143,0,3,9,2,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,517,498,526,78,104,61,523,497
1,66302,3590,75,15.0,645,145,1,12,6,15,18,3,0,0,0,0,0,0,0,0,1,1,1,0,0,56187,2277,72,14.4,651,152,0,6,12,4,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,163,777,145,526,68,104,103,236,111
0,64611,2581,78,15.6,715,198,1,2,4,4,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,65529,3292,80,16.0,823,167,0,4,2,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,64,134,51,111,897,35,147,18,526
0,49883,3095,65,13.0,620,157,0,8,7,5,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,61208,2267,74,14.8,637,184,1,7,8,6,18,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,64,517,429,888,58,104,84,222,22
0,50897,2900,68,13.6,702,134,0,5,16,4,15,3,0,0,0,0,0,0,0,0,0,0,1,0,0,68722,2860,81,16.2,694,227,1,16,5,22,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,104,517,236,31,154,163,91,110,111
0,53263,4364,70,14.0,697,141,0,3,2,3,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,59843,2813,75,15.0,717,221,1,2,3,2,18,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,122,76,777,222,412,114,234,61,145,111
1,75025,3543,85,17.0,901,236,0,0,7,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66578,3128,82,16.4,966,188,1,7,0,9,24,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,163,238,12,523,122,76,126,895,526
1,58089,2515,73,14.6,624,170,1,8,7,11,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,44890,2011,62,12.4,580,119,0,7,8,10,21,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86,104,517,145,526,164,76,777,147,53
1,51230,2000,70,14.0,603,138,0,5,8,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46801,2758,63,12.6,604,164,1,8,5,10,14,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,897,203,61,45,53,266,104,145,523,902
0,54375,1004,70,14.0,647,154,0,5,9,5,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,61422,5420,72,14.4,622,204,1,9,5,12,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,203,84,145,555,24,121,517,235,516
0,57438,2610,73,14.6,648,191,1,6,6,5,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,68633,4447,82,16.4,803,175,0,6,6,6,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,234,38,222,902,875,24,39,81,555
1,86510,1775,89,17.8,941,264,0,4,8,3,14,3,0,0,0,0,0,0,0,0,0,0,1,0,0,79738,3452,85,17.0,995,200,1,8,4,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,203,7,895,497,238,5,115,498,518
1,55627,2146,72,14.4,600,196,0,7,2,7,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45439,4963,63,12.6,571,119,1,2,7,2,11,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,517,114,120,21,53,67,163,126,360,12
1,67186,3915,77,15.4,720,189,0,11,8,18,17,3,0,0,0,0,0,0,0,0,1,1,0,0,0,69498,3703,81,16.2,723,161,1,8,11,13,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,64,13,523,111,54,60,81,166,43
0,51108,1900,67,13.4,633,150,1,7,8,7,16,1,0,0,0,0,0,0,0,0,1,1,1,0,0,60484,3234,76,15.2,731,194,0,8,7,5,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,200,84,145,35,58,76,38,81,111
1,53339,2516,70,14.0,571,187,1,5,7,3,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47793,3211,64,12.8,612,100,0,7,5,5,54,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,120,268,222,117,126,200,7,51,432
0,52343,3140,68,13.6,782,169,0,4,3,7,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,60622,3345,76,15.2,823,200,1,3,4,2,17,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,163,126,222,235,266,234,517,145,555
0,73468,4677,85,17.0,864,215,1,5,7,9,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77856,3842,86,17.2,895,181,0,7,5,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,104,61,145,43,58,64,136,119,412
0,62056,2581,76,15.2,707,211,1,6,6,5,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,63486,2771,81,16.2,664,183,0,6,6,3,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,163,50,145,497,897,120,61,51,25
1,56585,2994,69,13.8,579,140,1,11,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50692,4822,63,12.6,542,130,0,5,11,6,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,24,238,498,53,86,113,55,222,412
0,68488,2586,82,16.4,811,200,0,4,6,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75746,4568,87,17.4,854,252,1,6,4,7,13,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,268,120,134,498,497,58,104,101,429,111
0,56202,3646,72,14.4,723,197,1,5,2,5,19,3,0,0,0,0,0,0,0,0,1,1,1,0,0,59979,4276,76,15.2,781,157,0,2,5,2,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,104,61,360,12,777,59,268,145,78
0,58540,2497,73,14.6,689,173,0,6,9,7,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69247,3519,78,15.6,778,164,1,9,6,13,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,64,157,145,526,777,59,134,18,12
0,56037,2171,73,14.6,537,99,0,5,12,5,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69296,2671,78,15.6,632,198,1,12,5,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,50,141,22,98,517,266,555,81,777
1,70073,4211,83,16.6,777,170,0,4,3,6,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,58051,3521,76,15.2,819,199,1,3,4,2,15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,60,166,115,555,777,121,517,145,497
0,55511,4727,71,14.2,699,190,0,5,5,5,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58275,3592,74,14.8,698,171,1,5,5,5,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,56,157,145,53,897,59,61,223,235
0,61534,1966,73,14.6,644,197,1,4,6,5,14,0,0,0,0,0,0,0,0,0,1,1,1,0,0,69022,4845,81,16.2,745,180,0,6,4,11,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78,104,115,360,53,897,121,3,523,16
1,66780,2443,79,15.8,774,191,1,2,4,1,17,3,0,0,0,0,0,0,0,0,1,1,1,0,0,58199,2580,73,14.6,777,151,0,4,2,8,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,897,163,777,429,888,10,64,7,523,412
0,47443,1184,64,12.8,667,107,1,6,7,6,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52898,2051,69,13.8,710,172,0,7,6,8,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,28,126,498,555,133,76,777,18,111
0,60192,2866,79,15.8,640,175,0,3,5,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65345,2518,83,16.6,626,183,1,5,3,7,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,233,43,518,7,81,81,147,84,64,63
1,66398,2195,75,15.0,578,183,1,13,5,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52702,3093,69,13.8,567,126,0,5,13,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,145,3,39,141,43,54,131,81,157
0,67456,1588,77,15.4,667,187,0,5,8,3,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,73709,1867,85,17.0,681,148,1,8,5,7,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,82,234,15,126,67,117,7,54,98
1,93652,5826,90,18.0,308,0,1,30,24,70,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89207,3065,90,18.0,289,0,0,24,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,59,30,142,89,80,136,115,238,267
1,63948,1950,72,14.4,520,129,0,10,12,12,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59396,3567,69,13.8,513,111,1,12,10,11,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,518,114,202,147,43,777,103,22,33
0,54670,1722,73,14.6,791,168,0,2,3,1,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,66093,3573,79,15.8,848,188,1,3,2,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,104,518,222,412,69,526,777,523,53
0,68372,3082,80,16.0,859,188,0,7,3,9,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,73536,1632,83,16.6,873,224,1,3,7,7,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,254,103,202,497,157,64,61,498,111
