blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,5338,1,7,6,6,23,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4861,0,6,7,5,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,64,7,145,111,58,245,897,81,497
0,4857,0,11,4,18,23,3,1,0,2,1,1,0,0,0,1,1,1,0,0,2220,1,4,11,6,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,1947,1,8,5,8,18,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,0,5,8,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,2408,0,9,8,11,22,8,0,0,0,0,0,0,0,0,1,1,1,0,0,3776,1,8,9,5,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,2702,1,11,4,13,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3502,0,4,11,5,26,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,5464,0,6,8,4,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3435,1,8,6,17,21,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,2477,1,7,4,15,26,2,0,0,0,0,0,0,0,0,1,1,1,0,0,2593,0,4,7,4,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,2081,1,9,5,11,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,5,9,3,18,4,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,4151,0,5,7,8,19,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1889,1,7,5,10,21,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,2348,0,5,7,7,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,1,7,5,9,23,6,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,254,245,145,53,103,24,134,51,235
0,3557,1,7,9,7,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,9,7,10,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,76,777,202,43,114,104,518,119,111
0,3281,1,8,3,10,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6084,0,3,8,4,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,64,85,145,53,897,104,84,235,223
