blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,1967,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,64,7,145,111,58,245,897,81,497
0,3166,0,4,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,1,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,2454,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,1584,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2632,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,2034,1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,68,131,360,526,79,101,78,145,497
1,2121,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,3377,1,3,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,104,4,429,412,897,121,84,18,12
1,2436,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,61,145,12,897,104,134,429,53
0,1570,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,254,245,145,53,103,24,134,51,235
0,2982,1,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,76,777,202,43,114,104,518,119,111
0,2407,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,64,85,145,53,897,104,84,235,223
1,2141,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,104,268,429,53,266,121,61,18,888
0,1510,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,421,91,145,12,897,24,166,498,53
1,2070,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,526,200,15,235,79,24,777,67,497
1,2013,0,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3055,1,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,76,78,222,9,57,104,126,69,111
1,2308,0,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420,1,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,203,711,222,432,266,104,84,523,412
0,1915,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,154,61,145,412,516,427,18,429,888
0,2457,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,79,81,43,24,104,268,523,412
1,2138,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,777,202,12,80,64,61,145,497
1,1901,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,104,13,222,12,887,59,112,412,67
0,1790,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,126,236,44,54,104,238,81,143
0,2189,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64,103,51,412,897,234,115,429,111
1,1793,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,104,166,429,412,24,60,126,523,111
0,2145,1,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571,0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,254,222,3,902,58,104,61,429,111
1,1942,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,1,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,103,429,518,10,59,61,81,43
1,2149,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,517,23,429,526,80,104,887,115,555
0,1314,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3130,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,163,126,222,111,54,104,268,145,78
1,1444,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,876,711,29,78,120,58,112,498,497
1,2011,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2531,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,134,895,526,887,163,777,145,12
1,1653,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,517,498,526,78,104,61,523,497
1,2047,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,163,777,145,526,68,104,103,236,111
0,2087,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,64,134,51,111,897,35,147,18,526
0,1192,0,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2117,1,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,64,517,429,888,58,104,84,222,22
0,1315,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369,1,4,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,104,517,236,31,154,163,91,110,111
