blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,1263,1,7,6,6,25,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2216,0,6,7,5,22,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,126,64,7,145,111,58,245,897,81,497
0,1635,0,13,5,21,25,5,1,0,2,1,1,0,0,0,1,1,1,0,0,3033,1,5,13,7,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,4061,1,9,6,10,22,6,0,0,0,0,0,0,0,0,0,0,1,0,0,3498,0,6,9,11,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,3014,0,9,9,11,23,11,0,0,0,0,0,0,0,0,1,1,1,0,0,3464,1,9,9,6,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,4010,1,12,5,14,24,11,0,0,0,0,0,0,0,0,1,1,0,0,0,2763,0,5,12,7,29,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,5572,0,12,9,16,25,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1678,1,9,12,19,22,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,4256,1,8,5,17,32,6,0,0,0,0,0,0,0,0,1,1,1,0,0,4409,0,5,8,5,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,3701,1,9,5,11,25,8,0,0,0,0,0,0,0,0,0,0,1,0,0,3193,0,5,9,3,21,8,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,5190,0,8,7,11,22,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2257,1,7,8,10,24,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,2780,0,5,8,7,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5186,1,8,5,11,26,8,1,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,126,254,245,145,53,103,24,134,51,235
0,2900,1,9,9,11,64,8,0,0,0,0,0,0,0,0,0,0,1,0,0,3177,0,9,9,10,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,76,777,202,43,114,104,518,119,111
0,3014,1,10,4,13,21,7,0,0,0,0,0,0,0,0,1,1,0,0,0,2169,0,4,10,4,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,64,85,145,53,897,104,84,235,223
1,5520,1,5,3,8,33,7,0,0,0,0,0,0,0,0,1,1,1,0,0,1918,0,3,5,6,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,104,268,429,53,266,121,61,18,888
0,3398,1,10,6,13,17,8,0,0,0,0,0,0,0,0,1,1,1,0,0,2195,0,6,10,7,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,421,91,145,12,897,24,166,498,53
1,4571,0,10,8,11,23,3,0,0,0,0,0,0,0,0,1,1,0,0,0,3251,1,8,10,10,21,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,41,526,200,15,235,79,24,777,67,497
1,2623,0,10,13,13,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4507,1,13,10,17,20,8,1,0,3,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,887,76,78,222,9,57,104,126,69,111
1,3202,0,6,9,5,50,11,0,0,0,0,0,0,0,0,0,0,1,0,0,3546,1,9,6,11,54,4,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,203,711,222,432,266,104,84,523,412
0,1831,0,1,11,1,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5797,1,11,1,12,52,10,1,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,133,154,61,145,412,516,427,18,429,888
0,2189,1,6,7,8,24,8,0,0,0,0,0,0,0,0,1,1,0,0,0,3586,0,7,6,8,24,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,23,79,81,43,24,104,268,523,412
1,1347,0,6,7,12,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1589,1,7,6,8,29,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,27,24,777,202,12,80,64,61,145,497
1,4172,1,8,7,10,24,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2101,0,7,8,7,18,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,58,104,13,222,12,887,59,112,412,67
0,4142,1,10,9,9,16,9,1,0,2,2,2,0,0,0,0,0,1,0,0,1683,0,9,10,10,116,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,126,236,44,54,104,238,81,143
0,2004,0,7,13,9,22,8,0,0,0,0,0,0,0,0,0,0,1,0,0,4557,1,13,7,13,23,7,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64,103,51,412,897,234,115,429,111
1,1074,0,10,11,16,28,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2430,1,11,10,10,22,6,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,104,166,429,412,24,60,126,523,111
0,2165,1,10,13,21,36,7,0,0,0,0,0,0,0,0,1,1,0,0,0,2364,0,13,10,14,23,7,1,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,254,222,3,902,58,104,61,429,111
1,1420,0,14,6,14,29,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2070,1,6,14,9,27,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,897,64,103,429,518,10,59,61,81,43
1,2509,0,10,10,15,24,8,0,0,0,0,0,0,0,0,1,1,1,0,0,3702,1,10,10,11,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,517,23,429,526,80,104,887,115,555
0,1497,0,12,18,7,20,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3933,1,18,12,22,15,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,517,163,126,222,111,54,104,268,145,78
1,4497,1,7,4,9,23,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1903,0,4,7,6,22,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,876,711,29,78,120,58,112,498,497
1,3106,0,8,11,9,23,5,1,0,3,1,0,0,1,0,1,1,1,0,0,3743,1,11,8,14,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,134,895,526,887,163,777,145,12
1,2423,1,9,3,11,25,7,0,0,0,0,0,0,0,0,1,1,1,0,0,1758,0,3,9,2,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,517,498,526,78,104,61,523,497
1,5474,1,17,9,22,23,6,0,0,0,0,0,0,0,0,1,1,1,0,0,2706,0,9,17,5,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,163,777,145,526,68,104,103,236,111
0,3805,1,3,5,5,21,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1970,0,5,3,5,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,64,134,51,111,897,35,147,18,526
0,3264,0,12,10,8,31,8,1,0,3,1,0,0,1,0,0,0,0,0,0,2354,1,10,12,9,25,13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,150,64,517,429,888,58,104,84,222,22
0,3004,0,5,19,4,23,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2906,1,19,5,25,21,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,114,104,517,236,31,154,163,91,110,111
