blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,5707,1,25,13,34,72,29,1,1,3,7,4,2,1,2,0,1,2,1,0,3219,0,13,25,15,61,22,0,0,0,5,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,126,64,7,145,111,58,245,897,81,497
0,1766,0,30,25,44,62,20,1,0,2,2,1,1,0,0,1,1,2,0,0,8639,1,25,30,43,73,22,0,1,0,6,1,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,122,59,99,145,526,114,421,69,81,497
0,3412,1,30,24,39,65,22,1,0,2,1,1,0,0,0,1,3,1,0,0,7243,0,24,30,55,61,21,0,1,0,10,3,3,4,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,5248,0,28,20,42,68,32,0,0,0,6,4,1,1,0,1,2,2,1,0,2726,1,20,28,18,56,25,1,1,1,5,1,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,164,64,163,498,111,114,254,518,145,201
0,1940,1,25,25,38,70,29,0,0,0,3,2,1,0,0,1,2,1,0,0,6434,0,25,25,42,90,26,1,1,1,9,3,2,4,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,85,64,69,360,526,24,517,126,895,497
1,4940,0,32,21,68,75,28,1,0,1,5,3,1,1,0,0,3,1,1,0,570,1,21,32,45,74,33,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,5197,1,24,18,45,87,21,1,0,2,4,2,0,2,0,1,3,2,1,0,2907,0,18,24,30,63,41,0,0,0,7,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,4266,1,27,17,55,71,26,0,0,0,5,2,3,0,0,0,1,2,0,0,1821,0,17,27,22,71,21,1,0,3,5,1,1,3,0,1,3,0,1,0,0,0,0,1,0,0,0,1,1,0,85,104,4,429,412,897,121,84,18,12
1,4090,0,21,22,43,79,25,1,0,3,2,1,0,1,0,0,1,2,1,0,2566,1,22,21,41,85,26,0,0,0,6,2,2,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,3268,0,11,22,14,61,25,0,0,0,1,0,1,0,0,0,0,0,0,0,2545,1,22,11,34,72,27,1,1,3,11,5,3,3,1,1,3,2,1,1,0,0,0,0,0,0,1,0,1,0,126,254,245,145,53,103,24,134,51,235
