blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,2708,1,13,7,15,41,17,1,0,3,2,0,1,1,0,0,0,1,0,0,3315,0,7,13,8,35,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,126,64,7,145,111,58,245,897,81,497
0,2982,0,24,11,33,34,7,1,0,2,1,1,0,0,0,1,1,1,0,0,812,1,11,24,22,33,8,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,2586,1,18,10,17,35,13,1,0,2,1,1,0,0,0,1,1,1,0,0,6788,0,10,18,18,35,10,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,5289,0,18,15,26,37,15,0,0,0,2,1,0,1,0,1,2,1,0,0,3399,1,15,18,13,28,14,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,4344,1,18,11,24,33,16,0,0,0,2,1,1,0,0,1,1,1,0,0,2161,0,11,18,17,40,11,1,0,1,3,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,6584,0,17,14,33,41,14,1,0,1,1,0,1,0,0,0,1,0,0,0,1801,1,14,17,31,49,21,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,3678,1,14,9,19,44,7,1,0,2,1,1,0,0,0,1,2,1,0,0,3713,0,9,14,13,34,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,2507,1,14,7,24,39,10,0,0,0,1,1,0,0,0,0,0,1,0,0,3074,0,7,14,4,33,11,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,2253,0,13,12,19,38,10,1,0,3,1,0,0,1,0,0,1,1,0,0,4426,1,12,13,17,38,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,2700,0,7,10,7,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3653,1,10,7,12,39,16,1,0,3,2,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,126,254,245,145,53,103,24,134,51,235
