blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,71743,997,84,16.8,774,164,0,17,33,30,71,38,0,0,0,1,1,0,0,0,0,0,0,0,0,71128,4824,78,15.6,757,195,1,33,17,52,63,35,1,0,3,4,2,1,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,517,64,61,145,235,150,113,777,81,555
0,57811,1858,72,14.4,784,156,1,17,20,14,66,30,1,0,3,5,2,1,2,0,0,0,2,0,0,69399,2484,83,16.6,850,226,0,20,17,27,68,24,0,0,0,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,897,64,18,115,53,10,104,518,51,99
1,64749,3446,77,15.4,743,187,1,24,25,36,59,18,0,0,0,3,1,0,2,0,0,1,1,0,0,65387,2881,77,15.4,744,218,0,25,24,36,72,18,1,0,2,4,2,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,887,131,126,145,53,68,64,39,119,235
1,71940,3444,83,16.6,906,191,0,25,14,32,113,29,0,0,0,3,2,1,0,0,1,2,2,0,0,65578,4545,78,15.6,827,191,1,14,25,19,113,28,1,0,3,4,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,897,104,61,202,111,164,76,126,81,235
1,68272,4225,82,16.4,883,237,1,17,11,25,63,32,0,0,0,2,0,1,1,0,1,1,2,0,0,65847,3704,80,16.0,933,202,0,11,17,11,71,17,1,0,2,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,234,61,222,111,150,64,134,498,89
0,55665,2142,73,14.6,728,161,0,17,18,30,66,24,0,0,0,2,0,1,1,0,1,3,0,0,0,65091,3086,78,15.6,765,185,1,18,17,25,61,28,1,0,2,4,1,2,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,68,59,84,222,111,86,64,711,29,117
0,55485,3323,69,13.8,664,147,0,24,23,36,70,16,0,0,0,1,1,0,0,0,0,1,2,0,0,62748,2487,74,14.8,657,174,1,23,24,31,58,15,1,0,3,6,2,2,2,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,266,57,157,51,412,24,64,711,222,223
1,64492,1822,80,16.0,799,229,0,16,14,26,62,13,1,0,1,5,2,2,1,0,0,1,2,0,0,59172,2099,76,15.2,805,176,1,14,16,25,49,20,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,777,68,64,222,12,897,163,126,145,53
0,48006,3305,66,13.2,746,130,1,8,15,18,104,33,0,0,0,2,0,1,1,0,0,1,0,0,0,58425,7166,74,14.8,764,178,0,15,8,32,59,36,1,0,2,6,3,1,2,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,154,427,18,222,53,58,57,126,115,526
1,64105,2085,76,15.2,628,155,1,19,21,32,84,26,0,1,0,5,2,1,2,1,0,0,2,1,1,56338,2740,68,13.6,768,185,0,21,19,27,62,27,1,0,1,7,1,2,4,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,36,234,711,145,888,777,91,517,498,497
