blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,53232,3247,68,13.6,649,133,1,7,6,6,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45622,3805,64,12.8,657,146,0,6,7,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,64,7,145,111,58,245,897,81,497
0,50457,1760,63,12.6,594,121,0,10,4,17,18,2,0,0,0,0,0,0,0,0,1,1,1,0,0,51820,2918,65,13.0,627,158,1,4,10,6,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,50798,2780,64,12.8,563,137,1,7,4,7,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0,55842,4745,68,13.6,604,136,0,4,7,6,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,52500,2563,68,13.6,633,142,0,9,8,11,17,6,0,0,0,0,0,0,0,0,1,1,0,0,0,47191,3546,61,12.2,647,109,1,8,9,5,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,72930,2275,83,16.6,865,220,1,8,3,10,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,75236,1388,84,16.8,761,191,0,3,8,3,24,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,61381,3845,72,14.4,598,202,0,6,8,4,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47508,3158,64,12.8,613,102,1,8,6,17,17,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,72640,2496,85,17.0,784,213,1,7,4,15,23,2,0,0,0,0,0,0,0,0,1,1,1,0,0,64604,5925,77,15.4,823,174,0,4,7,4,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,71276,6353,81,16.2,816,212,1,7,3,9,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,55787,4506,73,14.6,764,187,0,3,7,2,17,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,63784,3211,76,15.2,736,150,0,4,7,6,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60081,2694,77,15.4,774,207,1,7,4,10,18,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,42190,2007,63,12.6,670,139,0,4,7,6,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55498,3444,69,13.8,691,171,1,7,4,9,21,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,254,245,145,53,103,24,134,51,235
0,54878,2762,71,14.2,666,176,1,6,9,6,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,56913,4222,70,14.0,707,126,0,9,6,10,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,76,777,202,43,114,104,518,119,111
0,46407,2014,63,12.6,591,158,1,7,2,9,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,53049,3729,71,14.2,615,148,0,2,7,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,64,85,145,53,897,104,84,235,223
1,54375,3707,71,14.2,730,171,1,5,3,8,21,4,0,0,0,0,0,0,0,0,0,0,1,0,0,43733,3138,65,13.0,681,146,0,3,5,6,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,104,268,429,53,266,121,61,18,888
0,64127,4832,76,15.2,687,131,1,9,4,10,12,6,0,0,0,0,0,0,0,0,1,1,1,0,0,74489,1512,82,16.4,700,214,0,4,9,4,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,421,91,145,12,897,24,166,498,53
1,53939,1243,69,13.8,604,153,0,8,6,8,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43267,3930,60,12.0,614,126,1,6,8,7,16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,526,200,15,235,79,24,777,67,497
1,65103,1831,77,15.4,657,208,0,10,11,13,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60376,1301,74,14.8,677,205,1,11,10,14,14,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,887,76,78,222,9,57,104,126,69,111
1,71024,3384,82,16.4,733,196,0,5,8,4,41,8,0,0,0,0,0,0,0,0,0,0,1,0,0,64219,2316,79,15.8,818,214,1,8,5,11,42,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,203,711,222,432,266,104,84,523,412
0,61918,2441,76,15.2,807,139,0,1,7,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,70366,1652,81,16.2,794,246,1,7,1,7,38,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,133,154,61,145,412,516,427,18,429,888
