blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,2417,1,19,29,23,129,51,1,0,1,3,2,1,0,0,0,1,1,0,0,8157,0,29,19,45,105,38,0,1,0,6,3,1,2,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,68,76,164,81,235,58,121,61,429,888
0,1868,0,16,22,38,77,23,0,0,0,3,1,1,1,0,1,1,1,0,0,2523,1,22,16,48,69,33,1,0,1,6,2,2,2,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,107,64,517,69,497,897,234,61,429,111
1,2464,1,20,7,36,85,43,0,0,0,3,2,1,0,0,1,3,1,0,0,3720,0,7,20,14,270,28,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,897,64,61,145,497,150,59,142,202,432
0,2908,1,9,21,21,131,40,0,0,0,1,0,0,1,0,1,1,0,0,0,4448,0,21,9,33,95,31,1,0,1,6,2,2,2,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,897,427,7,222,12,78,104,115,145,497
1,1784,1,25,17,37,134,34,0,0,0,1,1,0,0,0,1,2,1,1,0,3634,0,17,25,31,76,27,1,0,1,6,2,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,69,427,166,523,111,58,163,126,498,497
1,3874,0,14,10,29,66,36,0,0,0,3,1,0,2,0,0,2,2,1,0,1814,1,10,14,23,70,22,1,0,2,3,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,897,60,126,235,223,78,59,163,498,497
0,1657,0,19,25,38,88,24,0,0,0,2,1,0,1,0,0,0,0,0,0,6510,1,25,19,39,103,39,1,1,3,6,3,2,1,1,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,68,64,61,119,12,897,163,166,523,223
1,1454,0,25,17,39,73,30,1,0,3,3,1,1,1,0,0,3,2,0,0,4026,1,17,25,21,63,27,0,0,0,3,2,1,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,1,0,24,163,84,429,57,78,91,61,110,518
0,3379,0,33,27,53,79,31,0,0,0,1,0,0,1,0,0,1,2,1,1,5176,1,27,33,39,81,29,1,0,1,6,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,122,59,84,119,526,777,234,163,81,497
1,5758,1,19,18,46,76,48,0,0,0,3,1,1,1,0,1,2,0,0,0,4931,0,18,19,24,84,35,1,0,2,2,1,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,24,104,61,119,526,897,64,84,145,111
