blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,2734,1,13,15,12,93,33,1,0,1,1,0,1,0,0,0,1,1,0,0,3176,0,15,13,19,73,28,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,68,76,164,81,235,58,121,61,429,888
0,2501,0,9,17,19,42,11,0,0,0,1,0,1,0,0,1,1,1,0,0,4092,1,17,9,39,45,16,1,0,1,5,1,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,107,64,517,69,497,897,234,61,429,111
1,1423,1,14,6,24,57,26,0,0,0,1,0,1,0,0,1,2,1,0,0,2681,0,6,14,10,185,17,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,897,64,61,145,497,150,59,142,202,432
0,2201,1,4,13,7,83,21,0,0,0,0,0,0,0,0,1,1,0,0,0,5100,0,13,4,17,62,18,1,0,1,5,2,1,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,897,427,7,222,12,78,104,115,145,497
1,5253,1,18,12,26,91,24,0,0,0,1,1,0,0,0,1,1,1,0,0,5143,0,12,18,22,52,16,1,0,1,3,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,69,427,166,523,111,58,163,126,498,497
1,6032,0,10,10,17,39,18,0,0,0,3,1,0,2,0,0,1,2,0,0,2105,1,10,10,23,41,8,1,0,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,897,60,126,235,223,78,59,163,498,497
0,2086,0,12,15,17,56,15,0,0,0,2,1,0,1,0,0,0,0,0,0,2759,1,15,12,21,71,27,1,0,3,4,1,2,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,68,64,61,119,12,897,163,166,523,223
1,2329,0,16,10,18,51,16,1,0,3,3,1,1,1,0,0,1,2,0,0,2239,1,10,16,8,43,16,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,24,163,84,429,57,78,91,61,110,518
0,3617,0,25,22,33,49,15,0,0,0,1,0,0,1,0,0,0,2,0,0,2190,1,22,25,32,55,14,1,0,1,5,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,122,59,84,119,526,777,234,163,81,497
1,2663,1,10,11,17,48,29,0,0,0,2,0,1,1,0,1,1,0,0,0,1845,0,11,10,15,54,18,1,0,2,2,1,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,24,104,61,119,526,897,64,84,145,111
1,1060,1,15,15,28,85,26,1,0,3,2,1,0,1,0,1,2,0,0,0,3120,0,15,15,26,49,16,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,897,58,427,222,12,68,107,126,145,497
1,4795,0,26,18,25,38,12,0,0,0,3,2,1,0,0,1,2,1,0,0,3084,1,18,26,24,42,10,1,0,3,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,24,203,134,115,12,78,104,518,145,555
0,1671,1,13,13,29,58,21,1,0,1,2,1,1,0,0,0,0,1,0,0,2409,0,13,13,18,57,23,0,0,0,3,1,0,2,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,24,64,518,22,12,58,254,61,429,888
1,2849,1,12,11,17,68,24,0,0,0,1,0,0,1,0,0,1,1,0,0,1156,0,11,12,17,49,24,1,0,3,4,1,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,84,121,61,523,902,24,64,126,115,497
0,5809,0,12,14,19,54,20,1,0,1,2,1,1,0,0,1,3,0,0,0,5037,1,14,12,28,69,22,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,897,64,163,222,223,78,59,103,523,902
0,2352,0,17,25,33,41,11,0,0,0,1,0,1,0,0,0,0,1,0,0,2766,1,25,17,33,51,16,1,0,3,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,68,203,61,18,526,114,64,103,110,74
0,2178,1,13,15,14,49,16,0,0,0,0,0,0,0,0,1,1,1,0,0,4891,0,15,13,20,202,24,1,0,2,5,1,2,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,114,59,3,429,111,10,163,126,222,143
1,2626,1,21,9,29,48,19,0,0,0,4,2,1,1,0,0,1,2,0,0,1298,0,9,21,13,48,22,1,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,54,64,103,523,53,126,104,134,222,111
1,1457,0,25,17,31,41,14,0,0,0,1,1,0,0,0,1,2,2,0,0,2944,1,17,25,21,44,11,1,0,3,4,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,68,35,163,222,412,234,13,518,81,99
1,3132,1,20,15,21,38,10,0,0,0,1,0,1,0,0,1,1,2,0,0,2525,0,15,20,16,37,12,1,0,3,4,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,24,104,517,222,412,80,59,84,523,53
1,2892,0,13,11,16,55,17,1,0,2,4,1,3,0,0,1,1,2,0,0,1932,1,11,13,12,40,13,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,897,104,18,115,526,77,64,61,222,53
0,3119,0,9,9,17,98,28,0,0,0,0,0,0,0,0,0,1,2,0,0,3002,1,9,9,15,54,28,1,0,3,2,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,78,76,126,51,201,41,60,114,119,111
0,2828,1,15,26,19,41,21,0,0,0,1,0,0,1,0,0,0,1,0,0,2656,0,26,15,30,62,15,1,0,2,4,1,2,1,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,897,104,134,15,111,114,115,121,81,43
1,2847,0,18,12,25,96,30,1,0,1,2,1,1,0,0,0,1,2,0,0,3512,1,12,18,14,109,24,0,0,0,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,516,59,103,81,432,78,121,115,145,111
0,2996,1,10,13,14,64,17,1,0,2,2,1,0,1,0,0,0,2,0,0,1509,0,13,10,23,50,21,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,897,64,99,145,89,150,200,268,67,53
1,4447,0,14,6,20,47,18,1,0,3,2,0,0,2,0,0,0,2,0,0,1478,1,6,14,11,61,10,0,0,0,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,58,104,61,523,44,107,78,115,222,902
1,3177,0,12,16,18,42,24,1,0,1,2,0,1,1,0,0,0,1,0,0,2556,1,16,12,20,58,12,0,0,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,59,61,222,53,897,64,103,81,111
1,3542,1,10,15,10,61,18,0,0,0,1,0,1,0,0,0,1,1,0,0,5460,0,15,10,17,45,25,1,0,3,3,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,266,64,268,498,497,85,254,61,222,3
0,2417,0,9,13,10,65,16,0,0,0,1,0,1,0,0,0,1,0,0,0,3388,1,13,9,15,43,22,1,0,2,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126,5,517,222,902,107,64,61,29,53
1,4648,1,13,14,15,104,21,1,0,3,2,1,0,1,0,0,1,0,0,0,2561,0,14,13,17,98,24,0,0,0,3,1,1,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,777,121,126,115,432,114,104,518,15,235
1,4625,1,23,7,22,51,7,1,0,2,3,1,2,0,0,1,2,2,0,0,2066,0,7,23,12,37,12,0,1,0,4,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,897,64,61,81,43,58,68,268,523,53
0,2406,1,19,16,28,35,11,0,0,0,1,1,0,0,0,0,0,2,0,0,5002,0,16,19,34,49,13,1,0,3,4,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,80,107,3,119,12,58,64,518,429,111
0,1585,0,11,13,19,46,15,1,0,3,2,1,0,1,0,0,1,1,0,0,2455,1,13,11,20,42,17,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,897,3,104,523,12,887,121,517,145,497
1,6419,1,19,11,29,59,26,0,0,0,5,2,2,1,0,0,0,2,0,0,3094,0,11,19,12,56,31,1,0,3,3,0,1,2,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,114,64,61,523,497,897,121,134,115,89
1,4386,0,20,24,24,101,10,1,0,3,3,1,1,1,0,0,0,2,0,0,5234,1,24,20,37,96,16,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,887,64,39,115,432,897,254,163,126,497
1,2611,1,15,12,16,49,18,0,0,0,1,1,0,0,0,1,1,1,0,0,1439,0,12,15,21,41,19,1,0,3,3,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,78,234,268,429,53,41,104,84,115,12
1,1987,0,22,21,37,61,14,0,0,0,0,0,0,0,0,1,1,0,0,0,2392,1,21,22,31,43,16,1,0,3,2,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,134,64,13,429,12,68,5,84,523,526
0,2711,0,21,16,30,55,13,0,0,0,0,0,0,0,0,1,1,1,0,0,1979,1,16,21,19,68,13,1,0,2,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,68,64,84,145,12,122,9,897,202,497
0,2806,0,4,15,2,26,14,0,0,0,0,0,0,0,0,0,0,1,0,0,4676,1,15,4,19,43,13,1,0,3,3,1,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,78,163,498,115,12,897,104,84,429,888
1,1134,0,23,12,26,85,17,0,0,0,2,1,1,0,0,1,1,2,0,0,4155,1,12,23,12,83,20,1,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,61,202,111,164,76,126,81,235
1,3298,0,16,12,17,45,16,1,0,3,5,2,1,2,0,0,1,1,0,0,2935,1,12,16,20,45,12,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,897,104,61,145,12,526,58,517,222,497
1,4357,0,6,21,10,44,10,0,0,0,2,0,1,1,0,0,0,0,0,0,4690,1,21,6,31,45,15,1,0,2,3,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,897,64,268,81,350,68,234,103,497,429
0,1712,1,16,24,35,51,14,0,0,0,1,0,1,0,0,1,1,0,0,0,1722,0,24,16,35,43,14,1,0,2,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,24,59,61,523,53,107,68,18,222,223
0,3345,0,22,24,25,39,10,0,0,0,2,0,1,1,0,0,0,0,0,0,4473,1,24,22,39,46,13,1,0,2,4,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,68,233,517,81,74,266,64,115,15,43
1,4103,0,17,9,21,49,27,0,0,0,2,1,0,1,0,1,2,0,0,0,2589,1,9,17,17,175,18,1,0,1,4,1,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,114,200,103,145,555,266,427,39,115,432
1,2013,0,10,14,17,43,34,0,0,0,1,1,0,0,0,0,1,0,0,0,1606,1,14,10,16,62,19,1,0,3,5,1,1,3,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,133,163,126,145,526,69,254,134,498,497
1,3273,0,13,11,18,53,19,1,0,3,2,1,0,1,0,1,1,2,0,0,2089,1,11,13,17,52,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,104,112,523,235,68,64,61,222,12
0,1997,0,7,10,7,79,19,0,0,0,2,1,0,1,0,0,0,2,0,0,2570,1,10,7,13,84,22,1,0,3,5,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,150,876,126,202,497,154,427,18,51,235
1,2763,1,8,12,9,96,12,0,0,0,1,0,0,1,0,1,1,0,0,0,5206,0,12,8,19,45,32,1,0,1,4,1,2,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,420,104,4,69,53,77,254,3,81,497
0,4019,0,23,16,35,52,12,0,0,0,1,1,0,0,0,1,2,1,0,0,1696,1,16,23,18,51,13,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,897,59,112,81,43,58,64,61,15,111
1,3340,0,11,5,17,54,19,0,0,0,1,0,0,1,0,1,2,0,0,0,2100,1,5,11,5,48,17,1,0,2,4,2,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,897,526,517,222,201,58,30,126,429,12
0,2542,1,21,23,20,51,12,0,0,0,2,0,1,1,0,0,0,0,0,0,1442,0,23,21,33,49,20,1,0,3,4,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,68,64,897,498,111,84,56,711,523,412
0,3095,1,7,17,8,60,19,0,0,0,3,2,0,1,0,0,0,1,0,0,974,0,17,7,20,50,22,1,0,2,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,897,9,61,222,888,69,56,517,29,12
0,3932,0,15,18,25,47,10,0,0,0,2,0,1,1,0,0,1,2,0,0,1956,1,18,15,22,40,12,1,0,3,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,68,203,134,222,111,897,254,517,523,201
0,3888,0,5,6,4,53,14,0,0,0,2,1,0,1,0,0,0,2,0,0,2190,1,6,5,6,41,19,1,0,3,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,897,62,61,145,497,24,64,84,115,12
1,4170,0,19,26,24,85,20,0,0,0,1,0,0,1,0,0,1,1,0,0,2941,1,26,19,31,44,9,1,0,2,5,2,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,58,76,145,222,53,897,163,136,498,526
0,1242,1,25,8,40,59,30,0,0,0,3,2,0,1,0,0,1,1,0,0,1855,0,8,25,13,59,20,1,0,2,2,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,78,91,127,145,53,68,59,518,523,888
1,3781,0,10,14,19,55,17,1,0,2,2,1,0,1,0,1,2,2,0,0,2188,1,14,10,18,44,12,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,897,121,61,81,201,887,59,517,145,111
1,3137,0,14,13,25,44,16,1,0,1,6,2,2,2,0,0,1,2,0,0,1945,1,13,14,19,45,12,0,0,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,58,121,517,523,111,897,104,134,222,12
1,2437,1,21,10,28,69,21,1,0,1,4,2,1,1,0,1,1,2,0,0,2122,0,10,21,14,60,29,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,897,64,61,145,497,266,154,268,222,902
0,3745,1,11,16,16,60,37,0,0,0,1,0,1,0,0,1,1,2,0,0,4315,0,16,11,25,64,30,1,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,154,104,134,145,12,24,64,7,18,497
1,7676,0,19,13,28,63,17,0,0,0,2,1,1,0,0,1,2,1,0,0,1214,1,13,19,20,48,28,1,0,3,3,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,85,59,84,145,497,24,64,61,523,412
1,4126,0,12,14,28,48,25,0,0,0,2,1,1,0,0,0,0,2,0,0,1375,1,14,12,20,66,20,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,266,59,163,222,412,58,526,134,498,497
0,3410,0,13,10,21,58,13,1,0,3,4,1,2,1,0,0,0,2,0,0,3138,1,10,13,17,53,22,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,41,64,99,115,12,58,421,61,119,888
1,1926,0,18,16,20,53,16,1,0,1,3,2,1,0,0,0,0,2,0,0,2679,1,16,18,27,38,21,0,0,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,78,64,711,222,57,24,163,126,360,111
1,3199,0,13,14,19,47,24,0,0,0,1,1,0,0,0,0,1,1,0,0,3572,1,14,13,23,57,16,1,0,2,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,84,59,268,222,12,24,113,777,29,497
1,2752,1,12,8,14,59,27,1,0,3,4,2,1,1,0,1,2,2,0,0,2698,0,8,12,7,78,20,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,104,84,81,235,24,64,61,222,902
1,3491,0,20,12,31,89,23,1,0,3,3,2,0,1,0,0,0,1,0,0,2331,1,12,20,16,52,20,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,76,126,115,12,266,131,777,498,497
0,3480,1,62,58,96,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,4282,0,58,62,121,45,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,555,54,246,8,236,17,96,81,23
1,2505,0,22,17,30,48,23,0,0,0,1,0,1,0,0,0,0,0,0,0,3630,1,17,22,21,56,15,1,0,3,2,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,266,59,711,236,497,68,141,84,119,555
0,4404,1,19,28,20,50,23,0,0,0,0,0,0,0,0,0,1,0,0,0,2093,0,28,19,33,86,24,1,0,2,4,1,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,150,163,91,145,555,64,254,142,236,117
1,2460,1,19,9,26,51,26,0,0,0,1,1,0,0,0,0,1,0,0,0,3300,0,9,19,10,58,19,1,0,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,80,78,84,111,222,114,64,518,523,526
0,5272,1,14,16,23,49,13,0,0,0,1,1,0,0,0,0,0,1,0,0,3712,0,16,14,25,39,16,1,0,2,5,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,266,64,4,429,80,84,526,91,360,111
1,3502,0,10,8,17,50,25,1,0,3,1,0,0,1,0,1,2,0,0,0,2554,1,8,10,12,83,15,0,0,0,3,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,266,526,84,145,12,114,64,127,202,53
0,3142,1,20,19,39,107,30,0,0,0,0,0,0,0,0,0,0,1,0,0,4048,0,19,20,18,122,20,1,0,1,5,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,777,59,134,145,432,114,64,84,202,22
