blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,2508,1,8,4,6,37,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1432,0,4,8,4,23,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,76,164,81,235,58,121,61,429,888
0,3503,0,3,7,4,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1,7,3,13,17,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,69,497,897,234,61,429,111
1,2654,1,4,1,5,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3017,0,1,4,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,61,145,497,150,59,142,202,432
0,2257,1,2,5,2,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2456,0,5,2,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,427,7,222,12,78,104,115,145,497
1,1208,1,9,5,12,32,6,0,0,0,0,0,0,0,0,1,1,0,0,0,2870,0,5,9,6,22,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,69,427,166,523,111,58,163,126,498,497
1,2645,0,4,4,3,17,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2878,1,4,4,8,20,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,897,60,126,235,223,78,59,163,498,497
0,1362,0,5,8,5,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,1,8,5,14,25,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,68,64,61,119,12,897,163,166,523,223
1,3430,0,7,4,7,20,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2214,1,4,7,2,15,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,163,84,429,57,78,91,61,110,518
0,2945,0,10,7,13,18,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2063,1,7,10,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,84,119,526,777,234,163,81,497
1,2907,1,8,9,13,14,6,0,0,0,0,0,0,0,0,1,1,0,0,0,2567,0,9,8,12,19,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,24,104,61,119,526,897,64,84,145,111
1,2912,1,6,6,9,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2979,0,6,6,5,18,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,897,58,427,222,12,68,107,126,145,497
1,1757,0,8,7,9,16,4,0,0,0,0,0,0,0,0,1,1,0,0,0,2875,1,7,8,8,16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24,203,134,115,12,78,104,518,145,555
