blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,2460,1,12,14,10,85,27,1,0,1,1,0,1,0,0,0,0,1,0,0,1233,0,14,12,18,68,23,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,68,76,164,81,235,58,121,61,429,888
0,2531,0,9,16,19,41,11,0,0,0,0,0,0,0,0,1,1,1,0,0,5598,1,16,9,39,45,15,1,0,1,5,1,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,107,64,517,69,497,897,234,61,429,111
1,4347,1,11,3,18,55,26,0,0,0,1,0,1,0,0,1,2,1,0,0,4464,0,3,11,4,176,15,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,897,64,61,145,497,150,59,142,202,432
0,2305,1,4,13,7,80,19,0,0,0,0,0,0,0,0,1,1,0,0,0,2905,0,13,4,17,55,16,1,0,1,4,2,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,897,427,7,222,12,78,104,115,145,497
1,2095,1,16,9,20,87,21,0,0,0,0,0,0,0,0,1,1,1,0,0,2997,0,9,16,15,50,14,1,0,1,2,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,69,427,166,523,111,58,163,126,498,497
1,5710,0,7,8,8,38,18,0,0,0,2,0,0,2,0,0,1,2,0,0,2468,1,8,7,16,40,8,1,0,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,897,60,126,235,223,78,59,163,498,497
0,2353,0,12,15,17,50,13,0,0,0,2,1,0,1,0,0,0,0,0,0,5437,1,15,12,21,65,22,1,0,3,4,1,2,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,68,64,61,119,12,897,163,166,523,223
1,3897,0,16,10,18,45,13,1,0,3,3,1,1,1,0,0,1,2,0,0,3426,1,10,16,8,40,14,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,24,163,84,429,57,78,91,61,110,518
0,4085,0,23,21,31,43,9,0,0,0,1,0,0,1,0,0,0,2,0,0,4186,1,21,23,31,47,10,1,0,1,5,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,122,59,84,119,526,777,234,163,81,497
1,1108,1,10,11,17,41,23,0,0,0,2,0,1,1,0,1,1,0,0,0,2663,0,11,10,15,51,17,1,0,2,2,1,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,24,104,61,119,526,897,64,84,145,111
1,4532,1,15,14,28,82,25,1,0,3,1,0,0,1,0,1,2,0,0,0,6103,0,14,15,24,46,16,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,897,58,427,222,12,68,107,126,145,497
1,2212,0,25,17,24,32,11,0,0,0,3,2,1,0,0,1,2,1,0,0,2547,1,17,25,23,37,8,1,0,3,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,24,203,134,115,12,78,104,518,145,555
0,3681,1,10,11,19,58,21,1,0,1,2,1,1,0,0,0,0,1,0,0,1519,0,11,10,14,55,18,0,0,0,3,1,0,2,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,24,64,518,22,12,58,254,61,429,888
1,3876,1,12,11,17,64,23,0,0,0,0,0,0,0,0,0,1,1,0,0,4447,0,11,12,17,49,21,1,0,3,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,84,121,61,523,902,24,64,126,115,497
0,4972,0,9,9,14,51,20,1,0,1,2,1,1,0,0,1,2,0,0,0,3004,1,9,9,14,61,20,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,897,64,163,222,223,78,59,103,523,902
0,4993,0,16,25,32,37,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1455,1,25,16,33,47,14,1,0,3,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,68,203,61,18,526,114,64,103,110,74
0,2474,1,13,13,14,48,15,0,0,0,0,0,0,0,0,1,1,1,0,0,5297,0,13,13,17,193,21,1,0,2,4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,114,59,3,429,111,10,163,126,222,143
1,1052,1,20,9,27,44,15,0,0,0,4,2,1,1,0,0,1,2,0,0,1793,0,9,20,13,45,20,1,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,54,64,103,523,53,126,104,134,222,111
1,4470,0,24,17,29,37,14,0,0,0,1,1,0,0,0,1,2,2,0,0,5163,1,17,24,21,39,8,1,0,3,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,35,163,222,412,234,13,518,81,99
1,767,1,18,13,19,34,9,0,0,0,1,0,1,0,0,1,1,2,0,0,2305,0,13,18,14,34,11,1,0,3,4,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,24,104,517,222,412,80,59,84,523,53
1,5338,0,13,11,16,49,15,1,0,2,4,1,3,0,0,1,1,2,0,0,2287,1,11,13,12,37,11,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,897,104,18,115,526,77,64,61,222,53
0,1826,0,8,9,13,92,25,0,0,0,0,0,0,0,0,0,1,2,0,0,4607,1,9,8,15,50,23,1,0,3,2,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,78,76,126,51,201,41,60,114,119,111
0,4679,1,15,24,19,37,20,0,0,0,1,0,0,1,0,0,0,1,0,0,4559,0,24,15,25,57,15,1,0,2,4,1,2,1,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,897,104,134,15,111,114,115,121,81,43
1,3193,0,18,12,25,91,26,1,0,1,2,1,1,0,0,0,1,2,0,0,2573,1,12,18,14,97,18,0,0,0,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,516,59,103,81,432,78,121,115,145,111
0,2763,1,10,13,14,56,15,1,0,2,1,1,0,0,0,0,0,2,0,0,4105,0,13,10,23,46,19,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,897,64,99,145,89,150,200,268,67,53
1,3708,0,13,6,17,43,18,1,0,3,1,0,0,1,0,0,0,2,0,0,2432,1,6,13,11,58,10,0,0,0,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,58,104,61,523,44,107,78,115,222,902
1,1702,0,9,16,9,38,17,1,0,1,2,0,1,1,0,0,0,1,0,0,5061,1,16,9,20,54,10,0,0,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,59,61,222,53,897,64,103,81,111
1,2648,1,9,14,9,53,15,0,0,0,1,0,1,0,0,0,0,1,0,0,3784,0,14,9,15,41,23,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,266,64,268,498,497,85,254,61,222,3
0,3471,0,9,13,10,60,16,0,0,0,1,0,1,0,0,0,1,0,0,0,3111,1,13,9,15,41,19,1,0,2,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126,5,517,222,902,107,64,61,29,53
1,1930,1,11,14,13,95,16,1,0,3,1,0,0,1,0,0,1,0,0,0,2528,0,14,11,17,91,24,0,0,0,2,0,1,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,777,121,126,115,432,114,104,518,15,235
1,3983,1,23,7,22,48,6,1,0,2,3,1,2,0,0,1,1,2,0,0,4891,0,7,23,12,35,12,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,897,64,61,81,43,58,68,268,523,53
0,3272,1,18,15,27,34,9,0,0,0,1,1,0,0,0,0,0,2,0,0,3904,0,15,18,34,45,11,1,0,3,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,80,107,3,119,12,58,64,518,429,111
0,2627,0,10,13,19,43,13,1,0,3,1,0,0,1,0,0,1,1,0,0,2718,1,13,10,20,38,14,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,897,3,104,523,12,887,121,517,145,497
1,3435,1,19,11,29,54,24,0,0,0,3,1,1,1,0,0,0,1,0,0,1554,0,11,19,12,48,25,1,0,3,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,114,64,61,523,497,897,121,134,115,89
1,2694,0,18,20,20,96,9,1,0,3,2,1,0,1,0,0,0,1,0,0,4115,1,20,18,31,89,14,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,887,64,39,115,432,897,254,163,126,497
1,2641,1,11,11,12,45,16,0,0,0,0,0,0,0,0,1,1,1,0,0,4274,0,11,11,19,39,18,1,0,3,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,78,234,268,429,53,41,104,84,115,12
1,5180,0,20,21,35,59,13,0,0,0,0,0,0,0,0,1,1,0,0,0,3511,1,21,20,31,39,13,1,0,3,2,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,134,64,13,429,12,68,5,84,523,526
0,626,0,20,16,27,47,11,0,0,0,0,0,0,0,0,1,1,1,0,0,3601,1,16,20,19,61,12,1,0,2,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,68,64,84,145,12,122,9,897,202,497
0,2487,0,4,13,2,25,14,0,0,0,0,0,0,0,0,0,0,1,0,0,2274,1,13,4,15,41,10,1,0,3,2,0,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,78,163,498,115,12,897,104,84,429,888
1,5485,0,23,9,26,82,16,0,0,0,2,1,1,0,0,1,1,2,0,0,1459,1,9,23,6,77,18,1,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,61,202,111,164,76,126,81,235
1,2218,0,15,11,16,41,15,1,0,3,4,2,1,1,0,0,1,1,0,0,3447,1,11,15,18,41,12,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,897,104,61,145,12,526,58,517,222,497
1,2141,0,6,21,10,40,10,0,0,0,1,0,0,1,0,0,0,0,0,0,2458,1,21,6,31,41,14,1,0,2,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,897,64,268,81,350,68,234,103,497,429
