blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,614,1,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,76,164,81,235,58,121,61,429,888
0,2824,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,69,497,897,234,61,429,111
1,3569,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,61,145,497,150,59,142,202,432
0,1535,1,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,427,7,222,12,78,104,115,145,497
1,3489,1,2,1,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,427,166,523,111,58,163,126,498,497
1,2984,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,60,126,235,223,78,59,163,498,497
0,1922,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,1,2,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,64,61,119,12,897,163,166,523,223
1,2183,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2840,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,163,84,429,57,78,91,61,110,518
0,3418,0,3,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2410,1,2,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,84,119,526,777,234,163,81,497
1,1503,1,4,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,2,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,104,61,119,526,897,64,84,145,111
1,1276,1,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,58,427,222,12,68,107,126,145,497
1,2044,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,203,134,115,12,78,104,518,145,555
0,1974,1,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64,518,22,12,58,254,61,429,888
1,3497,1,2,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,121,61,523,902,24,64,126,115,497
0,2946,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367,1,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,163,222,223,78,59,103,523,902
0,3077,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2966,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,203,61,18,526,114,64,103,110,74
0,2613,1,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2588,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,59,3,429,111,10,163,126,222,143
1,3972,1,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,64,103,523,53,126,104,134,222,111
1,1747,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,1,2,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,35,163,222,412,234,13,518,81,99
1,2855,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3289,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,104,517,222,412,80,59,84,523,53
1,1726,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,18,115,526,77,64,61,222,53
0,2395,0,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,1,2,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,76,126,51,201,41,60,114,119,111
0,3387,1,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3483,0,4,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,134,15,111,114,115,121,81,43
1,3161,0,1,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,59,103,81,432,78,121,115,145,111
0,2956,1,2,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,0,2,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,99,145,89,150,200,268,67,53
1,3050,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3506,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,104,61,523,44,107,78,115,222,902
1,3513,0,2,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3083,1,2,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,59,61,222,53,897,64,103,81,111
1,2187,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4448,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,64,268,498,497,85,254,61,222,3
0,2888,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3349,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,5,517,222,902,107,64,61,29,53
1,3258,1,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3225,0,0,2,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,121,126,115,432,114,104,518,15,235
1,1045,1,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,61,81,43,58,68,268,523,53
0,2774,1,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3235,0,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,107,3,119,12,58,64,518,429,111
0,3418,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,3,104,523,12,887,121,517,145,497
1,3099,1,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891,0,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,64,61,523,497,897,121,134,115,89
1,1897,0,2,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,1,1,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,64,39,115,432,897,254,163,126,497
1,1511,1,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3773,0,4,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,234,268,429,53,41,104,84,115,12
1,1801,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3081,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,64,13,429,12,68,5,84,523,526
0,1709,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,64,84,145,12,122,9,897,202,497
0,2450,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,1,4,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,163,498,115,12,897,104,84,429,888
1,3146,0,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,1,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,61,202,111,164,76,126,81,235
1,2931,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,61,145,12,526,58,517,222,497
1,3439,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,64,268,81,350,68,234,103,497,429
0,1395,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,59,61,523,53,107,68,18,222,223
0,1652,0,6,8,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,1,8,6,16,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,233,517,81,74,266,64,115,15,43
1,3408,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3475,1,2,2,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,200,103,145,555,266,427,39,115,432
1,2228,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,163,126,145,526,69,254,134,498,497
1,4041,0,2,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,104,112,523,235,68,64,61,222,12
0,2215,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4249,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,876,126,202,497,154,427,18,51,235
1,2536,1,3,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,1,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,104,4,69,53,77,254,3,81,497
0,2840,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2841,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,59,112,81,43,58,64,61,15,111
1,3059,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,526,517,222,201,58,30,126,429,12
0,1271,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3156,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,64,897,498,111,84,56,711,523,412
0,4147,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,9,61,222,888,69,56,517,29,12
0,3119,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,203,134,222,111,897,254,517,523,201
0,3525,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3351,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,62,61,145,497,24,64,84,115,12
1,2623,0,2,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,1,3,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,76,145,222,53,897,163,136,498,526
0,2595,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3132,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,91,127,145,53,68,59,518,523,888
