blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,1870,1,19,27,23,124,49,1,0,1,3,2,1,0,0,0,1,1,0,0,4658,0,27,19,42,100,37,0,0,0,4,2,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,68,76,164,81,235,58,121,61,429,888
0,2222,0,16,22,38,71,21,0,0,0,3,1,1,1,0,1,1,1,0,0,5708,1,22,16,48,66,29,1,0,1,6,2,2,2,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,107,64,517,69,497,897,234,61,429,111
1,3800,1,20,7,36,83,41,0,0,0,3,2,1,0,0,1,3,1,0,0,3399,0,7,20,14,256,26,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,897,64,61,145,497,150,59,142,202,432
0,1576,1,9,21,21,122,30,0,0,0,1,0,0,1,0,1,1,0,0,0,2512,0,21,9,33,91,30,1,0,1,6,2,2,2,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,897,427,7,222,12,78,104,115,145,497
1,4990,1,25,15,37,120,34,0,0,0,1,1,0,0,0,1,2,1,1,0,3252,0,15,25,27,70,23,1,0,1,6,2,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,69,427,166,523,111,58,163,126,498,497
1,6660,0,14,10,29,62,33,0,0,0,3,1,0,2,0,0,2,2,0,0,900,1,10,14,23,64,21,1,0,2,3,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,897,60,126,235,223,78,59,163,498,497
0,1444,0,18,24,35,82,24,0,0,0,2,1,0,1,0,0,0,0,0,0,4912,1,24,18,37,99,35,1,0,3,5,2,2,1,0,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,68,64,61,119,12,897,163,166,523,223
1,5153,0,25,17,39,67,28,1,0,3,3,1,1,1,0,0,2,2,0,0,1598,1,17,25,21,59,24,0,0,0,2,2,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,24,163,84,429,57,78,91,61,110,518
0,2338,0,33,27,53,71,25,0,0,0,1,0,0,1,0,0,0,2,1,1,3247,1,27,33,39,77,28,1,0,1,6,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,122,59,84,119,526,777,234,163,81,497
1,3654,1,17,14,41,72,46,0,0,0,3,1,1,1,0,1,2,0,0,0,1689,0,14,17,18,77,31,1,0,2,2,1,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,24,104,61,119,526,897,64,84,145,111
